product_id,product_hs92_code,year,export_value,import_value,pci
1005,2937,1995,2316678028,2316678028,1.393
1006,2938,1995,242398487,242398487,1.06
1007,2939,1995,956618561,956618561,0.534
1008,2940,1995,166646307,166646307,1.608
1009,2941,1995,6328585142,6328585142,0.346
1010,2942,1995,374579493,374579493,-0.015
1011,3001,1995,691883981,691883981,0.75
1012,3002,1995,6156820636,6156820636,0.661
1013,3003,1995,3382733088,3382733088,0.362
1014,3004,1995,38863276251,38863276251,0.528
1015,3005,1995,2024503733,2024503733,0.28
1016,3006,1995,2921966206,2921966206,1.446
1017,3101,1995,130643101,130643101,-0.219
1018,3102,1995,7281345580,7281345580,-0.871
1019,3103,1995,931591431,931591431,-0.84
1020,3104,1995,3807952926,3807952926,-0.287
1021,3105,1995,8899349596,8899349596,-0.629
1022,3201,1995,168787482,168787482,-0.87
1023,3202,1995,452305559,452305559,-0.099
1024,3203,1995,286029977,286029977,-1.166
1025,3204,1995,10499360402,10499360402,1.044
1026,3205,1995,124483443,124483443,-0.078
1027,3206,1995,4558848057,4558848057,0.972
1028,3207,1995,1345620873,1345620873,1.09
1029,3208,1995,4877078227,4877078227,0.927
1030,3209,1995,1517903711,1517903711,0.335
1031,3210,1995,368831434,368831434,0.026
1032,3211,1995,95229952,95229952,0.509
1033,3212,1995,805043212,805043212,0.852
1034,3213,1995,491982218,491982218,0.428
1035,3214,1995,2008385620,2008385620,1.202
1036,3215,1995,2551672640,2551672640,1.577
1037,3301,1995,1303262209,1303262209,-1.021
1038,3302,1995,3972407073,3972407073,0.553
1039,3303,1995,4269907544,4269907544,-0.091
1040,3304,1995,6170119548,6170119548,0.217
1041,3305,1995,2541380322,2541380322,0.077
1042,3306,1995,1071487180,1071487180,-0.52
1043,3307,1995,3274137356,3274137356,0.323
1044,3401,1995,1864267458,1864267458,-1.195
1045,3402,1995,7857670214,7857670214,0.068
1046,3403,1995,1761775789,1761775789,2.265
1047,3404,1995,727976689,727976689,0.271
1048,3405,1995,772807923,772807923,0.202
1049,3406,1995,533656458,533656458,-0.03
1050,3407,1995,171763904,171763904,1.254
1051,3501,1995,1345611617,1345611617,-0.055
1052,3502,1995,252926633,252926633,0.577
1053,3503,1995,787199161,787199161,0.061
1054,3504,1995,564198779,564198779,0.655
1055,3505,1995,1172992501,1172992501,1.309
1056,3506,1995,2371124028,2371124028,1.298
1057,3507,1995,1394527811,1394527811,-0.21
